Refran,refran_completo,parte_1,parte_2
Non hai refrán vello que non sexa verdadeiro,Non hai refrán vello que non sexa verdadeiro,Non hai refrán vello ,que non sexa verdadeiro
Pobreza e ledicia non durmen nun cocho,Pobreza e ledicia non durmen nun cocho,Pobreza e ledicia ,non durmen nun cocho 
Verbas sisudas non queren testemuñas,Verbas sisudas non queren testemuñas,Verbas sisudas non ,queren testemuñas
Como se alegra o corvo do que fai o lobo,Como se alegra o corvo do que fai o lobo,Como se alegra o corvo do ,que fai o lobo
"No mes de san Xoán, pícanlle as pulgas no rabo ao can","No mes de san Xoán, pícanlle as pulgas no rabo ao can",No mes de san Xoán, pícanlle as pulgas no rabo ao can
"De alcalde a verdugo, mirade como subo","De alcalde a verdugo, mirade como subo",De alcalde a verdugo, mirade como subo
"A troita e a mentira, canto maior, tanto mellor","A troita e a mentira, canto maior, tanto mellor",A troita e a mentira, canto maior
"Quen con lobos anda, a ouvear aprende","Quen con lobos anda, a ouvear aprende",Quen con lobos anda, a ouvear aprende
Que lista era a vella dos anos mil! Gardaba o pan para maio e a leña para abril,Que lista era a vella dos anos mil! Gardaba o pan para maio e a leña para abril,Que lista era a vella dos anos mil! Gardaba ,o pan para maio e a leña para abril 
"Se o viño che prexudica o negocio, deixa o negocio","Se o viño che prexudica o negocio, deixa o negocio",Se o viño che prexudica o negocio, deixa o negocio
"Amor de neno, auga nun paxe","Amor de neno, auga nun paxe",Amor de neno, auga nun paxe
"Abriles e señores, os máis traidores","Abriles e señores, os máis traidores",Abriles e señores, os máis traidores
A formiga foi mexar ao mar e dixo que era unha axuda,A formiga foi mexar ao mar e dixo que era unha axuda,A formiga foi mexar ao mar e dixo ,que era unha axuda
"A árbore que nace torta, tarde ou nunca se endereita","A árbore que nace torta, tarde ou nunca se endereita",A árbore que nace torta, tarde ou nunca se endereita
"Entre marzo e abril o cuco ten que vir, e se o cuco faltara a fin do mundo voltara","Entre marzo e abril o cuco ten que vir, e se o cuco faltara a fin do mundo voltara",Entre marzo e abril o cuco ten que vir, e se o cuco faltara a fin do mundo voltara
"Se no toxal hai auga no marzal, as fontes terana ata o otoñal","Se no toxal hai auga no marzal, as fontes terana ata o otoñal",Se no toxal hai auga no marzal, as fontes terana ata o otoñal
O tempo é pai da verdade e irmán da mentira,O tempo é pai da verdade e irmán da mentira,O tempo é pai da ,verdade e irmán da mentira 
"O que sementa antes de santa Catalina, moita palla e pouca fariña","O que sementa antes de santa Catalina, moita palla e pouca fariña",O que sementa antes de santa Catalina, moita palla e pouca fariña
"Quen coas mans non pode, cos dentes acode","Quen coas mans non pode, cos dentes acode",Quen coas mans non pode, cos dentes acode
"Dixo o pastor a marzo: “Mal trataches o meu gando; alá irás onde non volvas máis”. E marzo respondeu: “Con tres días que me quedan e tres que me empreste meu irmán abril, poreiche as túas ovellas a parir”","Dixo o pastor a marzo: “Mal trataches o meu gando; alá irás onde non volvas máis”. E marzo respondeu: “Con tres días que me quedan e tres que me empreste meu irmán abril, poreiche as túas ovellas a parir”",Dixo o pastor a marzo: “Mal trataches o meu gando; alá irás onde non volvas máis”. E marzo respondeu: “Con tres días que me quedan e tres que me empreste meu irmán abril, poreiche as túas ovellas a parir”
Entre o ceo e a terra non hai nada que non se saiba,Entre o ceo e a terra non hai nada que non se saiba,Entre o ceo e a terra non hai nada ,que non se saiba
O ramo de san Xosé todos os anos frolez,O ramo de san Xosé todos os anos frolez,O ramo de san ,Xosé todos os anos frolez 
O corazón e os ollos nunca son vellos,O corazón e os ollos nunca son vellos,O corazón e os ,ollos nunca son vellos 
As labores que se empezan en sábado mexa o sacristán nelas,As labores que se empezan en sábado mexa o sacristán nelas,As labores ,que se empezan en sábado mexa o sacristán nelas
"A bo gato, bo rato","A bo gato, bo rato",A bo gato, bo rato
"Se en marzo canta a ra, en maio xa calará","Se en marzo canta a ra, en maio xa calará",Se en marzo canta a ra, en maio xa calará
"Cando marzo vén quente, trae o demo no dente","Cando marzo vén quente, trae o demo no dente",Cando marzo vén quente, trae o demo no dente
Nunca faltou un can nunha merenda,Nunca faltou un can nunha merenda,Nunca faltou un ,can nunha merenda 
"Cando Santos acaba, o inverno empeza","Cando Santos acaba, o inverno empeza",Cando Santos acaba, o inverno empeza
"Vaites co mes, que empeza con Santos e acaba con san Andrés","Vaites co mes, que empeza con Santos e acaba con san Andrés",Vaites co mes, que empeza con Santos e acaba con san Andrés
"Os faballos por Santos, nin nados en sacos","Os faballos por Santos, nin nados en sacos",Os faballos por Santos, nin nados en sacos
Quen cava no mes de Santos perde o tempo e o traballo,Quen cava no mes de Santos perde o tempo e o traballo,Quen cava no mes de Santos ,perde o tempo e o traballo 
Por Santos aínda hai campos verde e xa hai montes brancos,Por Santos aínda hai campos verde e xa hai montes brancos,Por Santos aínda hai campos ,verde e xa hai montes brancos 
"O día de todos os Santos, anda o pan e o viño por todos os cantos","O día de todos os Santos, anda o pan e o viño por todos os cantos",O día de todos os Santos, anda o pan e o viño por todos os cantos
"No Santos, neve nos altos; no san Andrés, neve nos pés","No Santos, neve nos altos; no san Andrés, neve nos pés",No Santos, neve nos altos; no san Andrés
"No mes de Santos e Defuntos, mata os teus porcos e vai facendo bo caldo cos untos","No mes de Santos e Defuntos, mata os teus porcos e vai facendo bo caldo cos untos",No mes de Santos e Defuntos, mata os teus porcos e vai facendo bo caldo cos untos
"Cogomelo murchado, xa rexeitado","Cogomelo murchado, xa rexeitado",Cogomelo murchado, xa rexeitado
"O que non sabe a maña, non come castaña","O que non sabe a maña, non come castaña",O que non sabe a maña, non come castaña
